unit,sex,age,icd10,geo\time	2011 	2012 	2013 	2014 	2015 	2016 
RT,M,TOTAL,F10,SI	11.64 	14.44 	16.57 	17.9 	22.93 	26.22 
RT,M,TOTAL,F10,SK	4.16 	3.59 	2.59 	5.41 	4.77 	4.92 
RT,M,TOTAL,F10,TR	0.23 d	0.24 d	0.19 d	0.1 d	0.09 d	0.07 d
RT,M,TOTAL,F10,UK	1.96 d	1.81 d	1.74 	1.87 	2.03 	2.03 
RT,T,TOTAL,F10,AT	5.31 	5.56 	5.53 	5.39 	6.04 	5.7 
RT,T,TOTAL,F10,BE	3.37 	3.98 	4.08 	3.52 	3.76 	3.5 
RT,T,TOTAL,F10,BG	0.23 	0.29 	0.17 	0.34 	0.41 	0.34 
RT,T,TOTAL,F10,CH	3.01 	2.56 	2.83 	2.78 	2.66 	2.26 
RT,T,TOTAL,F10,CY	0.34 	0.49 	0.78 	0.73 	0.65 	0.25 
RT,T,TOTAL,F10,CZ	1.35 	1.34 	1.28 	1.15 	1.27 	1.26 
RT,T,TOTAL,F10,DE	5.68 d	5.69 d	6.26 	5.83 	6.23 	6.1 
RT,T,TOTAL,F10,DK	12.61 	12.95 	12.58 	11.49 	12.24 	11.53 
RT,T,TOTAL,F10,EE	7.28 	7.81 	4.92 	4.51 	4.95 	4.88 
RT,T,TOTAL,F10,EL	0.27 	0.2 	0.12 	0.12 	0.3 	0.23 
RT,T,TOTAL,F10,ES	0.66 	0.67 	0.57 	0.59 	0.6 	0.53 
RT,T,TOTAL,F10,EU27_2020	3.16 	3.12 	3.15 	3.05 	3.31 	3.4 
RT,T,TOTAL,F10,EU28	2.95 d	2.9 d	2.92 d	2.82 	3.07 	3.16 
RT,T,TOTAL,F10,FI	3.13 	3.69 	3.72 	4.15 	3.68 	3.95 
RT,T,TOTAL,F10,FR	4.81 	4.67 	4.41 	4.06 	4.01 	3.94 
RT,T,TOTAL,F10,HR	5.67 	5.98 d	4.98 	5.29 	5.12 	4.86 
RT,T,TOTAL,F10,HU	3.61 d	3.22 d	3.23 	3.72 	3.28 	3.68 
RT,T,TOTAL,F10,IE	0.19 	0.19 	0.15 	0.32 	0.67 	0.54 
RT,T,TOTAL,F10,IS	2.29 	2.63 	3.04 	0.35 	3.15 	2.87 
RT,T,TOTAL,F10,IT	0.36 	0.35 	0.33 	0.32 	0.33 	0.36 
RT,T,TOTAL,F10,LI	8.54 	: 	3.36 	: 	: 	: 
RT,T,TOTAL,F10,LT	0.89 	0.95 	0.7 	0.91 	0.64 	0.89 
RT,T,TOTAL,F10,LU	2.09 	3.88 	5.78 	4.89 	4.63 	3.57 
RT,T,TOTAL,F10,LV	8.87 	7.96 	6.92 	6.79 	9.07 	5.73 
RT,T,TOTAL,F10,MT	0.5 	0.27 	0.59 	0.39 	0.27 	0.21 
RT,T,TOTAL,F10,NL	1.3 	1.28 	2.72 	2.6 	2.93 	3 
RT,T,TOTAL,F10,NO	4.5 	3.5 	3.4 	3.31 	3.02 	2.92 
RT,T,TOTAL,F10,PL	4.62 	4.24 	3.66 	3.55 	5.28 	6.95 
RT,T,TOTAL,F10,PT	1.07 	0.93 	0.76 	0.83 	0.76 	0.82 
RT,T,TOTAL,F10,RO	0.72 	0.56 	0.6 	1.44 	1.17 	1.39 
RT,T,TOTAL,F10,RS	3.17 	3.14 	3.39 	3.79 	3.34 	3.21 
RT,T,TOTAL,F10,SE	2.66 	2 	2.01 	2.38 	2.28 	2.25 
RT,T,TOTAL,F10,SI	6.34 	7.88 	9.64 	9.67 	12.83 	13.88 
RT,T,TOTAL,F10,SK	2.1 	1.91 	1.42 	2.97 	2.53 	2.69 
RT,T,TOTAL,F10,TR	0.11 d	0.13 d	0.1 d	0.05 d	0.04 d	0.04 d
RT,T,TOTAL,F10,UK	1.32 d	1.24 d	1.13 	1.3 	1.35 	1.38 
